coin,series_ticker,market_ticker,close_time,result,window_label,window_seconds,cutoff_time,observed_ts,yes_price,favorite_side,favorite_price,winning_side,won,pnl_per_contract,ev_per_dollar_risked,tradeable,dried_up_by_window,favorite_price_cents,threshold_bucket_cents
SOL,KXSOL15M,KXSOL15M-26APR071915-15,2026-04-07 23:15:00+00:00,yes,T-5m,300,2026-04-07 23:10:00+00:00,2026-04-07 23:10:00+00:00,0.955,yes,0.955,True,True,0.04185000000000003,0.043821989528795846,True,False,95.5,94.0
SOL,KXSOL15M,KXSOL15M-26APR071915-15,2026-04-07 23:15:00+00:00,yes,T-4m,240,2026-04-07 23:11:00+00:00,2026-04-07 23:11:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR071915-15,2026-04-07 23:15:00+00:00,yes,T-3m,180,2026-04-07 23:12:00+00:00,2026-04-07 23:12:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR071915-15,2026-04-07 23:15:00+00:00,yes,T-2m,120,2026-04-07 23:13:00+00:00,2026-04-07 23:13:00+00:00,0.991,yes,0.991,True,True,0.008370000000000008,0.008446014127144307,False,True,99.1,98.0
SOL,KXSOL15M,KXSOL15M-26APR071915-15,2026-04-07 23:15:00+00:00,yes,T-90s,90,2026-04-07 23:13:30+00:00,2026-04-07 23:13:00+00:00,0.991,yes,0.991,True,True,0.008370000000000008,0.008446014127144307,False,True,99.1,98.0
SOL,KXSOL15M,KXSOL15M-26APR071915-15,2026-04-07 23:15:00+00:00,yes,T-60s,60,2026-04-07 23:14:00+00:00,2026-04-07 23:14:00+00:00,0.991,yes,0.991,True,True,0.008370000000000008,0.008446014127144307,False,True,99.1,98.0
SOL,KXSOL15M,KXSOL15M-26APR071900-00,2026-04-07 23:00:00+00:00,yes,T-5m,300,2026-04-07 22:55:00+00:00,2026-04-07 22:55:00+00:00,0.95,yes,0.95,True,True,0.04650000000000004,0.04894736842105268,True,False,95.0,94.0
SOL,KXSOL15M,KXSOL15M-26APR071900-00,2026-04-07 23:00:00+00:00,yes,T-4m,240,2026-04-07 22:56:00+00:00,2026-04-07 22:56:00+00:00,0.98,yes,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR071900-00,2026-04-07 23:00:00+00:00,yes,T-3m,180,2026-04-07 22:57:00+00:00,2026-04-07 22:57:00+00:00,0.995,yes,0.995,True,True,0.004650000000000004,0.004673366834170858,False,True,99.5,98.0
SOL,KXSOL15M,KXSOL15M-26APR071900-00,2026-04-07 23:00:00+00:00,yes,T-2m,120,2026-04-07 22:58:00+00:00,2026-04-07 22:58:00+00:00,0.999,yes,0.999,True,True,0.0009300000000000008,0.0009309309309309318,False,True,99.9,98.0
SOL,KXSOL15M,KXSOL15M-26APR071900-00,2026-04-07 23:00:00+00:00,yes,T-90s,90,2026-04-07 22:58:30+00:00,2026-04-07 22:58:00+00:00,0.999,yes,0.999,True,True,0.0009300000000000008,0.0009309309309309318,False,True,99.9,98.0
SOL,KXSOL15M,KXSOL15M-26APR071900-00,2026-04-07 23:00:00+00:00,yes,T-60s,60,2026-04-07 22:59:00+00:00,2026-04-07 22:59:00+00:00,0.999,yes,0.999,True,True,0.0009300000000000008,0.0009309309309309318,False,True,99.9,98.0
SOL,KXSOL15M,KXSOL15M-26APR071845-45,2026-04-07 22:45:00+00:00,yes,T-5m,300,2026-04-07 22:40:00+00:00,2026-04-07 22:40:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR071845-45,2026-04-07 22:45:00+00:00,yes,T-4m,240,2026-04-07 22:41:00+00:00,2026-04-07 22:41:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR071845-45,2026-04-07 22:45:00+00:00,yes,T-3m,180,2026-04-07 22:42:00+00:00,2026-04-07 22:42:00+00:00,0.99,yes,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
