ticker,open_time,close_time,result,window_label,window_seconds,cutoff_time,snapshot_ts,yes_bid,yes_ask,favorite_side,favorite_entry_price,favorite_price_cents,spread,spread_cents,favorite_won,favorite_pnl,btc_price,btc_ret_1m_bps,btc_ret_3m_bps,btc_ret_5m_bps,kalshi_volume_fp,kalshi_open_interest_fp,favorite_matches_btc_1m,favorite_matches_btc_3m,favorite_matches_btc_5m,market_sequence
KXBTC15M-26APR081300-00,2026-04-08 16:45:00+00:00,2026-04-08 17:00:00+00:00,yes,T-60s,60,2026-04-08 16:59:00+00:00,2026-04-08 16:59:00+00:00,0.999,1.0,yes,1.0,100.0,0.0010000000000000009,0.10000000000000009,True,0.0,71608.27,-1.2580762631586584,-3.5737284611303544,5.204620529370985,7442.35,109605.99,False,False,True,0
KXBTC15M-26APR081300-00,2026-04-08 16:45:00+00:00,2026-04-08 17:00:00+00:00,yes,T-90s,90,2026-04-08 16:58:30+00:00,2026-04-08 16:58:00+00:00,0.998,0.999,yes,0.999,99.9,0.0010000000000000009,0.10000000000000009,True,0.0009300000000000008,71617.28,-3.846752955272148,-6.015875715998931,13.015177103019582,10406.31,103082.09,False,False,True,0
KXBTC15M-26APR081300-00,2026-04-08 16:45:00+00:00,2026-04-08 17:00:00+00:00,yes,T-2m,120,2026-04-08 16:58:00+00:00,2026-04-08 16:58:00+00:00,0.998,0.999,yes,0.999,99.9,0.0010000000000000009,0.10000000000000009,True,0.0009300000000000008,71617.28,-3.846752955272148,-6.015875715998931,13.015177103019582,10406.31,103082.09,False,False,True,0
KXBTC15M-26APR081300-00,2026-04-08 16:45:00+00:00,2026-04-08 17:00:00+00:00,yes,T-3m,180,2026-04-08 16:57:00+00:00,2026-04-08 16:57:00+00:00,0.998,0.999,yes,0.999,99.9,0.0010000000000000009,0.10000000000000009,True,0.0009300000000000008,71644.84,1.5313984851017537,10.314230536325741,17.460859877436175,36486.37,96460.68,True,True,True,0
KXBTC15M-26APR081300-00,2026-04-08 16:45:00+00:00,2026-04-08 17:00:00+00:00,yes,T-4m,240,2026-04-08 16:56:00+00:00,2026-04-08 16:56:00+00:00,0.988,0.99,yes,0.99,99.0,0.0020000000000000018,0.20000000000000018,True,0.009300000000000008,71633.87,-3.7007892365648054,15.334672087861101,12.017125871914835,19657.32,69449.28,False,True,True,0
KXBTC15M-26APR081300-00,2026-04-08 16:45:00+00:00,2026-04-08 17:00:00+00:00,yes,T-5m,300,2026-04-08 16:55:00+00:00,2026-04-08 16:55:00+00:00,0.93,0.931,yes,0.931,93.10000000000001,0.0010000000000000009,0.10000000000000009,True,0.06416999999999995,71660.39,12.486897629793159,19.635078095681102,13.978409275750003,14846.69,65213.59,True,True,True,0
KXBTC15M-26APR081315-15,2026-04-08 17:00:00+00:00,2026-04-08 17:15:00+00:00,yes,T-60s,60,2026-04-08 17:14:00+00:00,2026-04-08 17:14:00+00:00,0.999,1.0,yes,1.0,100.0,0.0010000000000000009,0.10000000000000009,True,0.0,71794.01,6.132403326495339,1.5616554383490744,15.226367185483536,11194.25,101918.37,True,True,True,1
KXBTC15M-26APR081315-15,2026-04-08 17:00:00+00:00,2026-04-08 17:15:00+00:00,yes,T-90s,90,2026-04-08 17:13:30+00:00,2026-04-08 17:13:00+00:00,0.998,0.999,yes,0.999,99.9,0.0010000000000000009,0.10000000000000009,True,0.0009300000000000008,71750.01,-3.4078969862139097,3.3516451572546124,13.519295874542259,22981.12,90760.6,False,True,True,1
KXBTC15M-26APR081315-15,2026-04-08 17:00:00+00:00,2026-04-08 17:15:00+00:00,yes,T-2m,120,2026-04-08 17:13:00+00:00,2026-04-08 17:13:00+00:00,0.998,0.999,yes,0.999,99.9,0.0010000000000000009,0.10000000000000009,True,0.0009300000000000008,71750.01,-3.4078969862139097,3.3516451572546124,13.519295874542259,22981.12,90760.6,False,True,True,1
KXBTC15M-26APR081315-15,2026-04-08 17:00:00+00:00,2026-04-08 17:15:00+00:00,yes,T-3m,180,2026-04-08 17:12:00+00:00,2026-04-08 17:12:00+00:00,0.994,0.995,yes,0.995,99.5,0.0010000000000000009,0.10000000000000009,True,0.004650000000000004,71774.47,-1.16044512055824,12.50054753542118,16.749832006246468,27121.87,83440.47,False,True,True,1
KXBTC15M-26APR081315-15,2026-04-08 17:00:00+00:00,2026-04-08 17:15:00+00:00,yes,T-4m,240,2026-04-08 17:11:00+00:00,2026-04-08 17:11:00+00:00,0.96,0.963,yes,0.963,96.3,0.0030000000000000027,0.30000000000000027,True,0.03441000000000003,71782.8,7.923211076825698,18.095508445268305,13.292413141425818,23497.07,76135.28,True,True,True,1
KXBTC15M-26APR081315-15,2026-04-08 17:00:00+00:00,2026-04-08 17:15:00+00:00,yes,T-5m,300,2026-04-08 17:10:00+00:00,2026-04-08 17:10:00+00:00,0.83,0.85,yes,0.85,85.0,0.020000000000000018,2.0000000000000018,True,0.1395,71725.97,5.734823224876617,9.981236336333854,9.816395445827464,13736.04,70243.98,True,True,True,1
KXBTC15M-26APR081330-30,2026-04-08 17:15:00+00:00,2026-04-08 17:30:00+00:00,no,T-60s,60,2026-04-08 17:29:00+00:00,2026-04-08 17:29:00+00:00,0.0,0.001,no,1.0,100.0,0.001,0.1,True,0.0,71654.91,11.63449656875315,17.158713345339915,11.168708837741015,548.3,113258.26,False,False,False,2
KXBTC15M-26APR081330-30,2026-04-08 17:15:00+00:00,2026-04-08 17:30:00+00:00,no,T-90s,90,2026-04-08 17:28:30+00:00,2026-04-08 17:28:00+00:00,0.001,0.002,no,0.999,99.9,0.001,0.1,True,0.0009300000000000008,71571.64,8.164920486761762,-0.6077456979647344,-5.704312194703132,4126.26,112820.05,False,True,True,2
KXBTC15M-26APR081330-30,2026-04-08 17:15:00+00:00,2026-04-08 17:30:00+00:00,no,T-2m,120,2026-04-08 17:28:00+00:00,2026-04-08 17:28:00+00:00,0.001,0.002,no,0.999,99.9,0.001,0.1,True,0.0009300000000000008,71571.64,8.164920486761762,-0.6077456979647344,-5.704312194703132,4126.26,112820.05,False,True,True,2
KXBTC15M-26APR081330-30,2026-04-08 17:15:00+00:00,2026-04-08 17:30:00+00:00,no,T-3m,180,2026-04-08 17:27:00+00:00,2026-04-08 17:27:00+00:00,0.002,0.004,no,0.998,99.8,0.002,0.2,True,0.0018600000000000016,71513.25,-2.644963797406863,-8.623126212976562,-20.754380495765503,23446.33,113411.97,True,True,True,2
KXBTC15M-26APR081330-30,2026-04-08 17:15:00+00:00,2026-04-08 17:30:00+00:00,no,T-4m,240,2026-04-08 17:26:00+00:00,2026-04-08 17:26:00+00:00,0.006,0.009,no,0.994,99.4,0.002999999999999999,0.29999999999999993,True,0.005580000000000004,71532.17,-6.122164709144728,-11.215920574749738,-25.767959800867544,25171.57,92761.91,True,True,True,2
KXBTC15M-26APR081330-30,2026-04-08 17:15:00+00:00,2026-04-08 17:30:00+00:00,no,T-5m,300,2026-04-08 17:25:00+00:00,2026-04-08 17:25:00+00:00,0.013,0.017,no,0.987,98.7,0.004000000000000002,0.4000000000000002,True,0.01209000000000001,71575.99,0.14250791862124856,-11.999389355413781,-24.252264808362067,28265.94,77042.2,False,True,True,2
KXBTC15M-26APR081345-45,2026-04-08 17:30:00+00:00,2026-04-08 17:45:00+00:00,yes,T-60s,60,2026-04-08 17:44:00+00:00,2026-04-08 17:44:00+00:00,0.999,1.0,yes,1.0,100.0,0.0010000000000000009,0.10000000000000009,True,0.0,71871.99,4.653489713604131,14.42555685324809,4.486373562495594,5012.57,62370.96,True,True,True,3
KXBTC15M-26APR081345-45,2026-04-08 17:30:00+00:00,2026-04-08 17:45:00+00:00,yes,T-90s,90,2026-04-08 17:43:30+00:00,2026-04-08 17:43:00+00:00,0.996,0.997,yes,0.997,99.7,0.0010000000000000009,0.10000000000000009,True,0.002790000000000002,71838.56,2.4296477734742083,-5.755431314414805,5.764851177281205,12608.99,58549.75,True,False,True,3
